center      name       ll          lr          cl          cr          rl          rr     
4374.47     ScII       4374.31     4374.36     4374.44     4374.51     4374.67     4374.74
4375.94     FeI        4375.78     4375.82     4375.90     4375.98     4376.06     4376.10
4379.23     VI         4379.03     4379.12     4379.17     4379.30     4379.36     4379.50
4383.55     FeI        4380.17     4380.30     4382.24     4384.88     4386.20     4386.37
4389.25     FeI        4389.00     4389.10     4389.22     4389.30     4389.35     4389.43
4389.99     VI         4389.36     4389.42     4389.93     4390.06     4390.71     4390.82
4395.04     TiII       4394.30     4394.60     4394.94     4395.13     4395.63     4395.75
4395.23     VI         4394.30     4394.60     4395.20     4395.30     4395.63     4395.75
4399.77     TiII       4399.33     4399.40     4399.70     4399.87     4400.03     4400.08
4404.76     FeI        4402.50     4403.00     4403.75     4405.63     4407.00     4407.50
4406.64     VI         4406.30     4406.40     4406.60     4406.73     4406.80     4407.00
4407.68     FeI        4407.05     4407.18     4407.59     4407.76     4408.70     4408.90
4408.20     VI         4407.05     4407.18     4408.15     4408.28     4408.70     4408.90
4408.47     FeI        4407.05     4407.18     4408.38     4408.59     4408.70     4408.90
4416.47     VI         4416.20     4416.30     4416.40     4416.55     4416.60     4416.70
4421.57     VI         4421.40     4421.50     4421.54     4421.62     4421.65     4421.70
4426.02     VI+TiI     4425.61     4425.71     4425.91     4426.11     4426.31     4426.41
4427.32     FeI        4427.08     4427.14     4427.26     4427.38     4427.50     4427.56
4428.52     VI+CrI     4428.00     4428.20     4428.46     4428.61     4428.80     4429.00
4429.79     VI         4429.40     4429.65     4429.71     4429.88     4429.87     4429.95
4435.15     FeI        4434.58     4434.71     4435.11     4435.21     4435.40     4435.50
4436.14     VI         4435.90     4436.05     4436.10     4436.20     4436.21     4436.26
4437.83     VI         4437.61     4437.67     4437.77     4437.91     4438.03     4438.09
4439.88     FeI        4439.45     4439.55     4439.80     4440.00     4440.00     4440.20
4441.69     TiII+VI    4441.33     4441.39     4441.63     4441.75     4441.85     4441.91
4442.34     FeI        4442.00     4442.10     4442.30     4442.40     4442.60     4442.70
4443.81     TiII       4443.45     4443.60     4443.76     4443.86     4444.00     4444.12
