filename	bjd	rv	rvc	logS
HARPS.2006-04-03T04:56:43.024	2453828.7090000003	-21.9849790695	4.1031570404470585e-05	-1.3734307617299997
HARPS.2006-04-03T04:57:22.778	2453828.70946	-21.984477317	0.0005430150384029275	-1.37209138174
HARPS.2006-04-03T04:58:00.772	2453828.7099	-21.984542928200003	0.00047761245465594016	-1.3754879892700003
HARPS.2006-04-03T04:59:20.980	2453828.7108299998	-21.9843484498	0.0006725155377544922	-1.37245655928
HARPS.2006-04-03T04:59:59.633	2453828.71128	-21.9845076054	0.0005135611034283727	-1.3733484402899998
HARPS.2006-04-03T05:00:40.288	2453828.71174	-21.983624268099998	0.0013971442725910777	-1.3722677429700003
HARPS.2006-04-03T05:01:18.382	2453828.71218	-21.9828443769	0.0021772291876835936	-1.37227455562
HARPS.2006-04-03T05:01:56.316	2453828.71262	-21.9856418596	-0.0006200448960598237	-1.37567400684
HARPS.2006-04-03T05:02:37.339	2453828.7131	-21.985290204000002	-0.00026818067980372007	-1.37558064016
HARPS.2006-04-03T05:03:15.293	2453828.7135400004	-21.9860976838	-0.001075459314126448	-1.37228708836
HARPS.2006-05-17T02:08:21.932	2453872.59344	-22.0115932925	-0.005968633140543744	-1.38801623049
HARPS.2006-05-17T02:09:01.976	2453872.5939	-22.0038688492	0.0017560560286149496	-1.39152843939
HARPS.2006-05-17T02:09:41.219	2453872.59435	-22.0041329854	0.001492120994292634	-1.3882307082499998
HARPS.2006-05-18T07:04:59.606	2453873.79944	-22.0046002596	0.0015912995359137483	-1.38917451201
HARPS.2006-05-18T07:05:39.310	2453873.7998900004	-22.006505862199997	-0.000314109348988012	-1.3923132517899999
HARPS.2006-05-18T07:06:17.675	2453873.80034	-22.0027334494	0.003458512067265218	-1.38972145386
HARPS.2006-05-22T03:12:52.152	2453877.6382400002	-22.006786649000002	0.001209545064615014	-1.39271284391
HARPS.2006-05-22T03:13:33.477	2453877.63872	-22.0091585992	-0.0011621816179641087	-1.39285414602
HARPS.2006-05-22T03:14:16.361	2453877.6392099997	-22.006796346399998	0.0012003170511967198	-1.39215822032
HARPS.2006-05-22T03:14:58.545	2453877.63971	-22.0061775319	0.0018193774203538737	-1.39373251125
HARPS.2006-05-22T03:15:39.989	2453877.64019	-22.0068624643	0.0011346461860313184	-1.391450812
HARPS.2006-05-22T03:17:38.211	2453877.64155	-22.0076159257	0.00038184043712163884	-1.391229024
HARPS.2006-05-22T03:18:19.565	2453877.6420400003	-22.006820902399998	0.001177072353382158	-1.39586567646
HARPS.2006-05-22T03:19:01.989	2453877.64253	-22.005942594	0.0020556266225391084	-1.3937688752700002
HARPS.2006-05-22T03:19:41.873	2453877.64299	-22.005749511599998	0.002248932539959725	-1.3927828932700002
HARPS.2006-05-22T03:20:25.248	2453877.64349	-22.0062394908	0.0017591768573765876	-1.39113242765
HARPS.2006-05-22T03:21:04.212	2453877.6439400003	-22.007225229699998	0.0007736465736343234	-1.39221703495
HARPS.2006-05-22T03:21:44.335	2453877.6444	-22.008122470100002	-0.00012337775953241703	-1.3931143324200002
HARPS.2006-05-22T03:22:22.509	2453877.64485	-22.0073467423	0.0006525884590473652	-1.3912759185799999
HARPS.2006-05-22T03:23:00.904	2453877.6452900004	-22.0075865427	0.0004129668729824232	-1.39159567745
HARPS.2006-05-22T03:23:40.798	2453877.64575	-22.007729484099997	0.00027023408924264913	-1.3939001011
HARPS.2006-05-22T03:24:23.322	2453877.64624	-22.007414895900002	0.0005850532572360123	-1.39327631997
HARPS.2006-05-22T03:29:46.664	2453877.6499900003	-22.0090588951	-0.0010571578034195284	-1.39404818507
HARPS.2006-05-22T03:30:28.328	2453877.6504599997	-22.007502491700002	0.0004994616634164117	-1.3926641264500002
HARPS.2006-05-22T03:31:13.912	2453877.651	-22.007548214299998	0.0004539774819996012	-1.39219718132
HARPS.2006-05-22T03:31:53.877	2453877.65146	-22.006183596	0.0018188267499965605	-1.3909201024700002
HARPS.2006-05-22T03:32:35.551	2453877.65195	-22.008508733699998	-0.000506079982002916	-1.39377387053
HARPS.2006-05-22T03:33:14.945	2453877.6524	-22.0086377617	-0.0006349142669108687	-1.3928240093000002
HARPS.2006-05-22T03:33:54.519	2453877.65286	-22.007934150300002	6.890574934459437e-05	-1.3964656423100001
HARPS.2006-05-22T03:34:35.522	2453877.65334	-22.0077095795	0.0002937373196694182	-1.39663605437
HARPS.2006-05-22T03:35:17.297	2453877.65381	-22.0081846257	-0.00018109281349509843	-1.3960540559999999
HARPS.2006-05-22T03:35:55.751	2453877.6542599997	-22.007675615900002	0.00032811815217925755	-1.39414849908
HARPS.2006-05-22T03:36:35.334	2453877.65471	-22.007443980500003	0.0005599472672734862	-1.39306658629
HARPS.2006-05-22T03:37:15.038	2453877.65518	-22.005343157800002	0.0026610083858535916	-1.39433147665
HARPS.2007-01-12T08:15:11.311	2454112.84132	-22.1215670522	-0.002284277572790927	-1.39363953571
HARPS.2007-01-13T08:25:55.952	2454113.84884	-22.121802961999997	-0.0020402582236371813	-1.39097895655
