name	center	ew	ew_diff	asym_diff	logS_ew_p	logS_ew_pp	logS_asym_p	logS_asym_pp	rv_ew_p	rv_ew_pp	rv_asym_p	rv_asym_pp
TiI+NiI	5014.23	0.16499	-0.00302	0.00814	-0.68022	0.00000	0.18476	0.00000	0.21722	0.00000	-0.09936	0.00000
TiI	5016.17	0.07589	-0.00016	0.00849	0.17673	0.00000	0.25329	0.00000	0.15426	0.00000	-0.02313	0.27000
FeII	5018.44	0.15152	0.00282	-0.00035	0.87825	0.00000	-0.09439	0.00001	-0.30311	0.00000	-0.01034	0.62182
TiI	5020.03	0.06287	-0.00045	0.01984	-0.02267	0.27955	0.50391	0.00000	0.45067	0.00000	-0.17615	0.00000
TiI	5022.87	0.10261	0.00092	0.00610	0.49573	0.00000	0.31466	0.00000	0.07294	0.00050	-0.19742	0.00000
TiI	5024.85	0.10626	0.00041	0.00329	0.46604	0.00000	0.04402	0.03571	-0.09504	0.00001	0.04132	0.04865
TiI	5039.96	0.11188	0.00149	0.00773	0.55313	0.00000	0.32614	0.00000	-0.55190	0.00000	-0.23680	0.00000
FeI	5040.9	0.08630	-0.00050	-0.00376	-0.49254	0.00000	-0.15606	0.00000	0.03627	0.08356	-0.12304	0.00000
FeI	5041.08	0.09753	-0.00162	0.00035	-0.68056	0.00000	0.24090	0.00000	0.07249	0.00054	-0.17427	0.00000
FeI	5041.76	0.07687	-0.00191	0.02522	-0.69060	0.00000	0.61793	0.00000	0.01494	0.47619	-0.11013	0.00000
FeI	5051.64	0.06487	-0.00403	0.02414	-0.88390	0.00000	0.63465	0.00000	0.35273	0.00000	-0.33427	0.00000
FeI	5060.08	0.07330	-0.00078	0.00929	-0.54728	0.00000	0.26846	0.00000	0.32084	0.00000	-0.22323	0.00000
TiI	5064.66	0.08410	-0.00047	0.00558	-0.32052	0.00000	0.29688	0.00000	0.09760	0.00000	-0.16516	0.00000
FeI	5068.77	0.14867	-0.00042	0.00744	0.13912	0.00000	0.23952	0.00000	0.12600	0.00000	-0.37784	0.00000
FeI	5079.75	0.10309	-0.00180	0.01172	-0.25051	0.00000	0.38080	0.00000	0.69511	0.00000	-0.37196	0.00000
FeI	5083.34	0.14185	-0.00056	0.01044	-0.09970	0.00000	0.54073	0.00000	0.05171	0.01360	-0.12068	0.00000
FeI	5098.7	0.09032	-0.00032	0.01329	-0.06099	0.00360	0.62983	0.00000	-0.01365	0.51507	-0.27382	0.00000
CuI	5105.54	0.12053	-0.00068	0.00201	-0.28243	0.00000	0.08116	0.00011	0.20668	0.00000	-0.23711	0.00000
FeI	5107.45	0.13502	-0.00144	0.01016	-0.52576	0.00000	0.66807	0.00000	0.13266	0.00000	-0.32354	0.00000
FeI	5107.65	0.12886	0.00031	-0.00337	0.43298	0.00000	0.32067	0.00000	-0.15527	0.00000	-0.12198	0.00000
FeI	5110.41	0.10195	-0.00798	0.04713	-0.95554	0.00000	0.84247	0.00000	0.32890	0.00000	-0.25524	0.00000
NiI	5115.4	0.08857	0.00048	-0.01104	0.19754	0.00000	-0.53519	0.00000	-0.23148	0.00000	0.69793	0.00000
FeI	5123.73	0.13326	-0.00104	0.00700	-0.44506	0.00000	0.48954	0.00000	0.12369	0.00000	-0.11557	0.00000
FeI	5127.36	0.11891	0.00009	0.01552	0.14250	0.00000	0.60259	0.00000	-0.34646	0.00000	-0.11557	0.00000
NiI	5142.93	0.09618	-0.00144	0.03058	-0.72355	0.00000	0.73676	0.00000	0.20688	0.00000	-0.27337	0.00000
TiI	5147.48	0.06183	-0.00104	0.01822	-0.59964	0.00000	0.55537	0.00000	0.29679	0.00000	-0.31158	0.00000
FeI	5150.85	0.13913	-0.00173	0.01751	-0.60924	0.00000	0.71804	0.00000	0.41141	0.00000	-0.23474	0.00000
FeI	5151.91	0.13174	-0.00045	0.00121	-0.06024	0.00404	0.27989	0.00000	0.43994	0.00000	-0.05737	0.00617
TiI	5152.19	0.06688	-0.00088	0.00954	-0.47305	0.00000	0.51934	0.00000	0.42112	0.00000	-0.37294	0.00000
FeI	5166.29	0.08948	-0.00419	0.01773	-0.90868	0.00000	0.27412	0.00000	0.40964	0.00000	-0.12727	0.00000
MgI	5167.33	0.13829	-0.00501	0.01736	-0.87444	0.00000	0.46560	0.00000	0.34360	0.00000	-0.10321	0.00000
FeI	5167.49	0.15413	-0.00364	0.01650	-0.82468	0.00000	0.65300	0.00000	0.27105	0.00000	-0.29850	0.00000
FeI	5168.9	0.13526	-0.00247	0.02049	-0.82470	0.00000	0.80798	0.00000	0.29317	0.00000	-0.24587	0.00000
FeI	5171.6	0.12566	-0.00249	0.02882	-0.73151	0.00000	0.76680	0.00000	0.30939	0.00000	-0.29980	0.00000
MgI	5172.69	0.17132	-0.00460	0.01440	-0.76603	0.00000	0.41575	0.00000	0.26585	0.00000	-0.18436	0.00000
MgI	5183.61	2.29321	-0.04296	-0.00227	-0.90079	0.00000	-0.34864	0.00000	0.38511	0.00000	0.08966	0.00002
FeI	5191.46	0.15224	0.00192	0.00594	0.67240	0.00000	0.43324	0.00000	-0.16747	0.00000	-0.25798	0.00000
TiI	5192.97	0.08340	-0.00050	0.02427	-0.33729	0.00000	0.71821	0.00000	0.24835	0.00000	-0.34985	0.00000
FeI	5194.95	0.14047	-0.00125	0.00855	-0.48935	0.00000	0.59977	0.00000	0.24853	0.00000	-0.26633	0.00000
FeI	5198.71	0.10693	0.00017	0.01292	0.23276	0.00000	0.58998	0.00000	0.08659	0.00004	-0.32629	0.00000
FeI	5202.34	0.18532	-0.00307	-0.00967	-0.51143	0.00000	-0.22193	0.00000	0.57449	0.00000	0.75886	0.00000
CrI+FeI	5204.53	0.23803	-0.00616	0.04292	-0.87047	0.00000	0.90812	0.00000	0.33188	0.00000	-0.35053	0.00000
CrI	5206.04	0.34778	-0.00127	0.00731	-0.32584	0.00000	0.52642	0.00000	0.20101	0.00000	-0.23720	0.00000
CrI	5208.43	0.13266	0.00065	0.01753	0.22073	0.00000	0.50042	0.00000	-0.00581	0.78157	-0.16657	0.00000
TiI	5210.39	0.09798	-0.00074	0.02210	-0.39571	0.00000	0.64878	0.00000	0.37075	0.00000	-0.35904	0.00000
FeI	5216.28	0.11292	-0.00020	0.01082	-0.27116	0.00000	0.45812	0.00000	-0.03280	0.11766	-0.15317	0.00000
TiI	5219.7	0.06691	-0.00050	0.00029	-0.48713	0.00000	0.50640	0.00000	0.18790	0.00000	-0.24398	0.00000
FeI	5225.53	0.10257	0.00175	0.01097	0.76567	0.00000	0.59509	0.00000	-0.30708	0.00000	-0.14981	0.00000
FeI	5227.19	0.16437	-0.00460	0.01325	-0.86521	0.00000	0.50360	0.00000	0.35411	0.00000	-0.17251	0.00000
TiI	5238.58	0.05898	-0.00126	0.00131	-0.76137	0.00000	0.07760	0.00021	0.30687	0.00000	-0.17605	0.00000
FeI	5247.05	0.09972	0.00102	0.00660	0.47004	0.00000	0.54554	0.00000	0.02493	0.23435	-0.18298	0.00000
CrI	5247.57	0.12707	0.00093	0.00462	0.52884	0.00000	0.50408	0.00000	0.05196	0.01315	-0.24138	0.00000
FeI	5250.21	0.09737	0.00068	0.00839	0.54258	0.00000	0.54711	0.00000	-0.07244	0.00054	-0.27739	0.00000
FeI	5254.96	0.11804	-0.00112	0.00064	-0.50845	0.00000	-0.02973	0.15614	0.18314	0.00000	0.03532	0.09201
CrI	5264.17	0.14723	-0.00228	0.02974	-0.70251	0.00000	0.81328	0.00000	0.20977	0.00000	-0.25021	0.00000
FeI	5269.54	0.24834	-0.00867	0.01505	-0.93843	0.00000	0.66773	0.00000	0.33393	0.00000	-0.13786	0.00000
FeI	5270.32	0.26942	-0.00680	0.00394	-0.89976	0.00000	0.39930	0.00000	0.36601	0.00000	0.05277	0.01178
CrI	5298.28	0.09685	-0.00083	0.03178	-0.31687	0.00000	0.59757	0.00000	0.29926	0.00000	-0.24651	0.00000
FeI+MnI	5341.03	0.17992	-0.00515	0.02635	-0.78488	0.00000	0.49455	0.00000	0.30891	0.00000	-0.16612	0.00000
CrI	5345.8	0.11066	-0.00058	0.02426	-0.05171	0.01359	0.57427	0.00000	0.03276	0.11812	-0.17848	0.00000
CrI	5348.32	0.14499	0.00102	0.00854	0.47184	0.00000	0.53986	0.00000	-0.02100	0.31660	-0.03317	0.11358
FeI	5371.5	0.09472	-0.00410	0.00635	-0.88529	0.00000	0.43418	0.00000	0.31908	0.00000	-0.19152	0.00000
MnI	5394.67	0.12887	-0.00439	0.01124	-0.89830	0.00000	0.70816	0.00000	0.33669	0.00000	-0.16488	0.00000
FeI	5397.13	0.10833	-0.00531	0.03358	-0.90284	0.00000	0.77012	0.00000	0.35913	0.00000	-0.30700	0.00000
MnI	5405.78	0.10892	-0.00373	0.02734	-0.81703	0.00000	0.66060	0.00000	0.30253	0.00000	-0.21472	0.00000
MnI+FeI	5407.42	0.15448	-0.00248	0.00236	-0.78967	0.00000	0.23691	0.00000	0.19085	0.00000	-0.43509	0.00000
CrI	5409.79	0.18307	0.00212	0.00379	0.53647	0.00000	0.15748	0.00000	-0.60810	0.00000	0.31438	0.00000
MnI	5420.35	0.16258	-0.00361	0.00122	-0.82346	0.00000	0.21866	0.00000	0.44448	0.00000	-0.02411	0.25012
TiI	5426.25	0.03282	-0.00071	0.00377	-0.69967	0.00000	0.34926	0.00000	0.33871	0.00000	-0.06907	0.00097
FeI	5429.7	0.09969	-0.00500	0.02642	-0.89216	0.00000	0.74270	0.00000	0.37924	0.00000	-0.23202	0.00000
MnI	5432.55	0.10620	-0.00433	0.00916	-0.85527	0.00000	0.28732	0.00000	0.40456	0.00000	0.32303	0.00000
FeI	5434.53	0.12850	-0.00439	0.02357	-0.86881	0.00000	0.70449	0.00000	0.41706	0.00000	-0.26652	0.00000
FeI	5446.92	0.12254	-0.00543	0.01559	-0.88440	0.00000	0.51592	0.00000	0.36899	0.00000	-0.16400	0.00000
FeI	5455.61	0.12891	-0.00349	0.03155	-0.84655	0.00000	0.77064	0.00000	0.27272	0.00000	-0.26619	0.00000
TiI	5460.5	0.04626	-0.00149	0.00223	-0.59084	0.00000	0.14755	0.00000	0.07592	0.00029	-0.10241	0.00000
MnI	5470.63	0.13317	-0.00238	0.00238	-0.72005	0.00000	0.38788	0.00000	-0.10888	0.00000	-0.31647	0.00000
NiI	5476.91	0.20984	0.00047	0.00442	0.36128	0.00000	0.17202	0.00000	-0.01557	0.45764	-0.13710	0.00000
CoI	5483.36	0.09820	-0.00223	0.00178	-0.67348	0.00000	0.21956	0.00000	0.19675	0.00000	-0.06400	0.00225
FeI	5497.52	0.07737	-0.00280	0.02278	-0.78455	0.00000	0.70689	0.00000	0.29113	0.00000	-0.23014	0.00000
FeI	5501.47	0.11206	-0.00145	0.02257	-0.37985	0.00000	0.71971	0.00000	0.15597	0.00000	-0.20541	0.00000
FeI	5506.78	0.11674	-0.00112	0.02627	-0.62332	0.00000	0.80459	0.00000	0.14635	0.00000	-0.23120	0.00000
MnI	5516.77	0.10699	-0.00163	0.00105	-0.77329	0.00000	0.14039	0.00000	0.31712	0.00000	0.11284	0.00000
MgI	5528.41	0.15017	-0.00017	0.00806	-0.05608	0.00744	0.42856	0.00000	0.23205	0.00000	-0.02693	0.19898
MnI	5537.77	0.10155	-0.00268	-0.00387	-0.72440	0.00000	-0.11077	0.00000	0.31946	0.00000	0.06461	0.00204
FeI	5569.62	0.16123	0.00042	0.00736	0.20946	0.00000	0.42799	0.00000	0.06108	0.00355	-0.32177	0.00000
CaI	5581.97	0.13456	0.00093	0.00716	0.30167	0.00000	0.25620	0.00000	0.08565	0.00004	-0.35720	0.00000
NiI	5587.86	0.05721	-0.00010	0.00546	-0.23283	0.00000	0.22279	0.00000	0.23271	0.00000	-0.26372	0.00000
CaI	5588.76	0.18932	0.00144	0.00529	0.58346	0.00000	0.29981	0.00000	-0.11349	0.00000	-0.15282	0.00000
CaI	5590.12	0.09483	0.00000	0.00438	0.21030	0.00000	0.34757	0.00000	0.23584	0.00000	-0.08296	0.00007
CaI	5598.49	0.08620	0.00017	0.00783	-0.08987	0.00002	0.25659	0.00000	0.02043	0.32980	-0.07231	0.00055
FeI	5624.55	0.11331	-0.00024	0.01696	-0.19195	0.00000	0.70353	0.00000	0.02029	0.33310	-0.27352	0.00000
VI	5627.64	0.07032	-0.00107	0.00114	-0.55715	0.00000	0.22356	0.00000	0.25989	0.00000	-0.14525	0.00000
VI	5670.85	0.07439	-0.00162	0.00543	-0.80766	0.00000	0.42422	0.00000	0.21946	0.00000	-0.26110	0.00000
VI	5703.58	0.08822	-0.00115	-0.00226	-0.55497	0.00000	0.21723	0.00000	0.22559	0.00000	-0.03843	0.06675
VI	5707.0	0.10008	-0.00145	0.00538	-0.70125	0.00000	0.28031	0.00000	0.20267	0.00000	-0.19871	0.00000
MgI	5711.09	0.11491	-0.00110	0.00475	-0.27592	0.00000	0.28854	0.00000	0.02999	0.15248	-0.03096	0.13972
FeI	5782.13	0.13193	-0.00171	-0.00172	-0.63130	0.00000	-0.16425	0.00000	0.18160	0.00000	0.11284	0.00000
BaII	5853.68	0.06213	0.00090	0.00345	0.69770	0.00000	0.10024	0.00000	-0.04134	0.04855	-0.26118	0.00000
CaI	5857.45	0.11515	-0.00005	0.00680	-0.03453	0.09953	0.44931	0.00000	0.39583	0.00000	-0.20853	0.00000
NaI	5889.96	0.17433	-0.00462	-0.01124	-0.59136	0.00000	-0.12720	0.00000	-0.11470	0.00000	0.27756	0.00000
NaI	5895.93	0.22856	-0.00706	0.00654	-0.68974	0.00000	0.15198	0.00000	0.62275	0.00000	0.11179	0.00000
MnI	6013.5	0.11516	-0.00197	0.01002	-0.60851	0.00000	0.25974	0.00000	0.42639	0.00000	-0.37963	0.00000
FeI+MnI	6016.64	0.14502	-0.00263	-0.00160	-0.55945	0.00000	-0.06751	0.00127	0.64918	0.00000	-0.23337	0.00000
MnI	6021.8	0.11756	-0.00003	0.00294	-0.17891	0.00000	0.26886	0.00000	0.14260	0.00000	-0.15015	0.00000
FeI	6065.49	0.09514	-0.00016	0.01098	-0.07553	0.00031	0.55934	0.00000	0.12530	0.00000	-0.15660	0.00000
VI	6081.45	0.05957	-0.00130	0.00466	-0.52802	0.00000	0.22839	0.00000	0.36435	0.00000	-0.22040	0.00000
FeI	6082.71	0.05442	-0.00023	0.01240	-0.04288	0.04078	0.57291	0.00000	0.14467	0.00000	-0.43268	0.00000
FeI+TiI	6085.25	0.06261	-0.00121	0.00464	-0.62683	0.00000	0.16341	0.00000	0.54699	0.00000	-0.18441	0.00000
VI	6090.21	0.06992	-0.00125	0.00768	-0.59461	0.00000	0.52286	0.00000	0.39465	0.00000	-0.19089	0.00000
CaI	6102.72	0.22076	0.00135	0.00033	0.53086	0.00000	0.29536	0.00000	-0.16293	0.00000	-0.06638	0.00153
VI	6111.65	0.05684	-0.00125	0.00296	-0.69787	0.00000	0.28525	0.00000	0.29678	0.00000	-0.00622	0.76684
CaI	6122.22	0.18282	0.00036	0.00784	0.56076	0.00000	0.57644	0.00000	-0.03950	0.05947	-0.34852	0.00000
FeI	6136.62	0.11014	-0.00097	0.01204	-0.32952	0.00000	0.63119	0.00000	0.25534	0.00000	-0.15068	0.00000
BaII+FeI	6141.73	0.05759	0.00124	0.00029	0.84346	0.00000	0.37628	0.00000	-0.24795	0.00000	-0.04211	0.04450
VI	6150.15	0.05789	-0.00138	0.00281	-0.61119	0.00000	0.35907	0.00000	0.25507	0.00000	-0.25650	0.00000
FeI	6173.34	0.09643	0.00058	0.00043	0.47776	0.00000	0.23310	0.00000	-0.07074	0.00073	-0.11083	0.00000
FeI	6191.57	0.11611	-0.00081	0.00810	-0.40315	0.00000	0.56407	0.00000	0.14497	0.00000	-0.25091	0.00000
VI+FeII	6199.19	0.07519	-0.00152	0.00277	-0.65609	0.00000	0.33449	0.00000	0.16346	0.00000	-0.23122	0.00000
FeI	6200.32	0.10017	0.00088	-0.00378	0.47942	0.00000	-0.12184	0.00000	-0.15177	0.00000	0.78658	0.00000
FeI	6213.44	0.11485	0.00155	-0.00379	0.71041	0.00000	0.24250	0.00000	-0.13823	0.00000	-0.23512	0.00000
VI	6213.87	0.04051	-0.00104	0.00653	-0.44317	0.00000	0.11637	0.00000	0.11198	0.00000	-0.01241	0.55384
FeI+VI	6216.36	0.09273	-0.00176	0.00739	-0.66175	0.00000	0.37448	0.00000	0.28597	0.00000	-0.29148	0.00000
FeI	6219.29	0.13430	0.00145	0.00092	0.53869	0.00000	0.07687	0.00024	-0.15362	0.00000	0.04823	0.02135
FeI	6230.73	0.20549	-0.00146	0.00961	-0.43934	0.00000	0.75739	0.00000	0.17235	0.00000	-0.30193	0.00000
VI	6242.83	0.05663	-0.00106	0.00153	-0.56276	0.00000	0.17494	0.00000	0.14953	0.00000	-0.08001	0.00013
VI	6243.11	0.09361	-0.00119	0.00354	-0.69668	0.00000	0.31994	0.00000	0.30673	0.00000	-0.21577	0.00000
FeI	6246.32	0.16545	0.00003	0.00618	0.31697	0.00000	0.57008	0.00000	-0.05467	0.00908	-0.32412	0.00000
VI	6251.83	0.07357	-0.00131	0.00133	-0.67384	0.00000	0.19218	0.00000	0.22803	0.00000	-0.12837	0.00000
FeI	6252.56	0.11598	-0.00023	0.01771	-0.23994	0.00000	0.72345	0.00000	0.23234	0.00000	-0.33057	0.00000
FeI	6254.26	0.14524	-0.00018	0.00215	0.12960	0.00000	-0.09163	0.00001	0.02908	0.16539	-0.01046	0.61789
FeI+NiI	6256.36	0.12376	0.00002	0.00367	0.24025	0.00000	0.15404	0.00000	0.00786	0.70787	-0.06450	0.00207
FeI	6265.14	0.12074	0.00075	0.00331	0.42790	0.00000	0.25661	0.00000	-0.07434	0.00039	-0.01535	0.46417
VI	6274.66	0.04951	-0.00165	0.00288	-0.68479	0.00000	0.18293	0.00000	0.33217	0.00000	0.03201	0.12672
FeI+CaI	6318.03	0.12723	-0.00233	0.00035	-0.47394	0.00000	-0.18529	0.00000	0.70813	0.00000	-0.49507	0.00000
FeI	6335.34	0.10551	0.00004	0.00138	0.17723	0.00000	0.02373	0.25767	0.32958	0.00000	0.34429	0.00000
FeI	6358.69	0.12594	-0.00213	-0.00397	-0.28039	0.00000	-0.28958	0.00000	0.49081	0.00000	0.11051	0.00000
FeI	6393.61	0.12496	-0.00094	0.01177	-0.29459	0.00000	0.61252	0.00000	0.09517	0.00001	-0.11385	0.00000
FeI	6400.32	0.08203	-0.00039	0.00529	-0.34322	0.00000	0.42289	0.00000	0.16294	0.00000	-0.22161	0.00000
FeI	6408.02	0.11407	0.00058	0.00596	0.47667	0.00000	0.33260	0.00000	-0.06618	0.00158	-0.32019	0.00000
FeI	6421.36	0.08907	-0.00045	0.00730	-0.22267	0.00000	0.47140	0.00000	0.16874	0.00000	-0.17401	0.00000
FeI	6430.85	0.12474	-0.00058	0.00345	-0.00013	0.99510	0.52364	0.00000	-0.24304	0.00000	-0.16920	0.00000
SiI	6450.2	0.15322	-0.00343	0.00563	-0.72647	0.00000	0.51316	0.00000	0.35740	0.00000	-0.45029	0.00000
Halpha	6562.8	0.73130	-0.01514	0.00267	-0.86274	0.00000	0.33825	0.00000	0.24188	0.00000	-0.03549	0.09045
NiI	6643.64	0.09918	-0.00154	-0.00007	-0.48384	0.00000	-0.01845	0.37879	0.24216	0.00000	0.05607	0.00745
