filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.015607000365619125	-0.04669820400784319
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.01985360469803876	-0.04269218480013248
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.016051761693517876	-0.04349041713760282
HARPS.2010-06-02T05.48.50.103	2455349.74658	-0.01603140543403186	-0.0491761245147192
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.01827008227688676	-0.031516687440093394
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.00969938949579097	-0.005409167587622887
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.014329671230165169	-0.02045862809921717
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.008398693600090063	-0.003986220767455251
HARPS.2010-06-11T22.54.41.879	2455359.45876	-0.007607402150853696	0.0008056068250748005
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.0034990000537228217	-0.0032042454581502344
