filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.002097282621617109	-0.08690383341901176
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.009740022783301563	-0.14056228079260058
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.0020205416774548178	-0.18484753093061346
HARPS.2010-06-02T05.48.50.103	2455349.74658	-0.006078885986939887	-0.11253202138459062
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.022142448704287325	-0.12524299930173655
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.03599675117183729	-0.05447879086157692
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.028448778824002718	-0.09278504965911138
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.04193437425891069	-0.03421802539641439
HARPS.2010-06-11T22.54.41.879	2455359.45876	-0.036517901625236736	-0.013365384600704244
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.028960996096989513	0.0017299852838122964
