filename	bjd	ew	asym	
HARPS.2010-06-01T23.11.51.057	2455349.4709	-0.05758640017964542	-0.22344248676363931
HARPS.2010-06-04T23.08.11.865	2455352.46825	-0.05930417136558066	-0.1477697054224767
HARPS.2010-06-03T23.20.40.541	2455351.47697	-0.060258950108756607	-0.18757523330428794
HARPS.2010-06-02T05.48.50.103	2455349.74658	-0.04892722007033615	-0.19443587053156564
HARPS.2010-06-07T23.10.34.877	2455355.46985	-0.0475549630750508	-0.11926764964262193
HARPS.2010-06-05T23.01.12.868	2455353.46338	-0.021349297134186693	-0.13036269097098785
HARPS.2010-06-06T22.52.26.332	2455354.45727	-0.03255190926282092	-0.15311341255094102
HARPS.2010-06-08T05.04.04.255	2455355.71533	-0.019581964035813724	-0.0769510665947839
HARPS.2010-06-11T22.54.41.879	2455359.45876	-0.026840522181059298	-0.06424018392298958
HARPS.2010-06-12T01.01.37.284	2455359.5468900003	-0.029613131109778375	0.0063710242260655026
