# wavelength	depth
6330.49	0.02337
6332.92	0.03419
6343.26	0.04272
6347.85	0.03210
6347.89	0.02630
6351.56	0.03320
6351.58	0.03127
6362.10	0.03231
6372.44	0.02108
6425.79	0.02890
6433.82	0.02640
6435.42	0.02470
6448.79	0.02821
6455.02	0.04118
6459.74	0.08108
6460.55	0.04155
6460.86	0.02408
6461.08	0.02200
6462.69	0.03078
6462.71	0.03797
6462.73	0.03770
6462.86	0.02717
6462.89	0.02824
6464.35	0.05995
6464.65	0.02053
6465.29	0.08097
6467.00	0.02753
6467.14	0.05227
6467.59	0.04571
6468.44	0.05690
6468.75	0.04169
6468.82	0.03196
6468.84	0.03083
6470.23	0.05426
6470.51	0.09693
6470.87	0.06621
6473.34	0.11429
6473.48	0.04898
6474.05	0.13434
6475.00	0.02523
6475.92	0.13858
6476.07	0.18399
6476.68	0.26538
6477.88	0.06038
6478.20	0.03651
6478.36	0.03040
6480.06	0.08639
6480.35	0.04809
6480.93	0.23103
6481.10	0.02082
6482.53	0.04124
6484.11	0.22666
6484.55	0.02323
6484.63	0.07531
6484.79	0.11069
6485.53	0.04522
6486.43	0.05922
6486.53	0.02528
6487.65	0.12620
6488.42	0.02313
6488.90	0.04210
6490.01	0.08236
6491.66	0.25309
6491.82	0.02181
6493.79	0.17398
6494.11	0.05998
6495.29	0.04750
6496.74	0.25310
6498.37	0.02966
6498.48	0.06835
6503.46	0.02194
6504.44	0.02160
6504.50	0.02866
6505.08	0.06411
6508.54	0.02459
6509.48	0.11235
6512.88	0.08133
6513.12	0.06842
6514.50	0.03429
6515.18	0.04252
6515.61	0.27470
6516.73	0.10046
6517.43	0.23063
6517.51	0.25283
6517.97	0.13585
6518.89	0.10489
6520.03	0.03427
6520.34	0.14626
6523.09	0.03427
6523.12	0.02272
6524.19	0.04370
6524.51	0.02915
6524.72	0.17145
6531.47	0.04894
6533.23	0.19545
6534.90	0.09872
6535.14	0.02382
6535.53	0.02918
6535.88	0.02403
6537.60	0.06324
6541.32	0.02497
6543.19	0.09719
6544.79	0.26165
6544.93	0.02212
6546.65	0.04073
6548.58	0.11764
